generation,min_string,min_fitness,max_string,max_fitness,avg_fitness,sum_fitness
14,00100000000010000000000000001000000100001100101010010100110011001100110011001101,0.00038284392575987865,10100000000000000000000100000100010100001100111111101100010011011110110011101101,0.3076885361860748,0.2730265016958578,27.302650169585778
15,11100000000010000001001010000001100000101100110010001100110011001100110011011101,0.00038849663043847676,10100000000000000000000100000100010100001100111111101100110011001100110011101101,0.3076887063246796,0.26972790696344484,26.972790696344486
16,00100000000010001010000000010000000000001100110110101100100011001100110011000101,0.00038648096495094697,10100000000000000000000100000100010100001100111111101100110011010100110011001101,0.30768870698596223,0.26270967245763954,26.270967245763952
17,11100000000001000000000000110000000001001100010010000100111010000100110011001101,0.00037941605779549467,10100000000000000000000100000100010100001100111111101100110011010101110011001111,0.307688707068739,0.2576458186938576,25.76458186938576
18,11100000000000000001001000001001000000000100110010001100110011010101110011001111,0.00027205661836182356,10100000000000000000000100000100010100001100111111101100110011010100110011001101,0.30768870698596223,0.26625141877849356,26.62514187784936
19,11100000000000001011000000100000100000001100100000101000110011101100110011101101,0.0003838474830741835,10100000000000000000001010100000001000101101000000101100110011101100110010001100,0.30767375759453963,0.2610369557925704,26.10369557925704
20,00100000000001100000000001000000000000001100100010001100111001001100110011101101,0.00038037566617206913,10100000000000000000001000000010000000001100111111101100110011010100111011000101,0.30768836491739915,0.2537483253494343,25.374832534943433
21,11101100000010000000100000010000000000001100100011101100010011001100110111001101,0.00022981766433187835,10100000000000000000001100000110001000101100111110101100111011000101111111001101,0.30763035541616435,0.2611855247738215,26.11855247738215
22,11100001101000000001001000000000000000001100100011101100110001001101111011000100,0.00035734917115173506,10100000000000000000100100000100010100001100111111001100111011001111110001011111,0.307666097544366,0.25081061928206677,25.08106192820668
23,11100000010010000000000100000100010100001100110010001100110001100110110001101101,0.00038404542105792546,10100000000000000001001000010000000000001100111111001100111011001100110011011101,0.3076628747868335,0.2459886901673453,24.59886901673453
24,00100000000000000001001011000001100101101100100010101100010001101100110011011101,0.0003801145498803106,10100000000000100000010000010000001000001100111111001100111011001100110011001101,0.3074847054815307,0.26505197532593816,26.505197532593815
25,00100000010010000000001001000000100000101100110010001000100011101100010111000101,0.0003895524869266835,10100000000000000000000100000000000010001100111111001100111001001100110011010101,0.30766892389766387,0.264360241089426,26.4360241089426
26,00100000001000100011000010010000000010001100110011001100110001101100110011001101,0.0003872303368113875,10100000000000100001001011000001100101101100111111001100111001001100110011010101,0.30747939165650584,0.2535787599328926,25.35787599328926
27,11100000001000100011000000000000001000001100110010001100110001101101110010011101,0.00038667041075500324,10100000000010001001100000010000000010011100111111001100110001101000110011100101,0.30687068412267665,0.2513204838655968,25.132048386559678
28,11100001110011000010000010011000000001001100110000011100100111001100110010101100,0.0003579127313545197,10100000000000000001000100000000000011001100111011000100110001101100110011001110,0.30681110218560775,0.2381296990346209,23.81296990346209
29,11100000010001000000001000101100000000001100110010101100101011001111100111011111,0.0003844671937117951,10100000000000000010000100000100100101101100111010011110110001101100110111000100,0.306581035108389,0.2555649676545271,25.55649676545271
30,11100000111010101000101001001001000000001101110010100000010111101100110011001101,0.000391630648589295,10100000000000000010000100000001100010001100111111001100010011101110100011010101,0.30765698500232336,0.24958802778583628,24.958802778583628
31,11100000000000000001000100000000000011001100110011111000010111101100110011001101,0.00038955870868295447,10100000000000000010000100000001100010001100111111001100010011101110100011010101,0.30765698500232336,0.2539882755983946,25.398827559839457
32,00100000100000001010000010001000000001001100110000011100110111101101010010011101,0.00039303435123309963,10100000000000000010000100000001100010001100111111001100010011101110100011010101,0.30765698500232336,0.24275358956281054,24.275358956281053
33,11100000011010000000000000000101000101101100110010001110110011000100101001001101,0.0003818513001685874,10100000000000000010000100000001100010001100111111001100010011101110100011010101,0.30765698500232336,0.24388230127370608,24.38823012737061
34,00100000000000100001011010010001100001001100110001001100110000101100010001001101,0.0003844277690615338,10100000000100000100000010000100000010001100111111001100010001101110100011010101,0.3061331239064345,0.24811785714885723,24.811785714885723
35,00100000000000001000010000000011000000001100010000011101111011101100110011011101,0.00037499457013653073,10100000000010001000000010011001100011001100111110101101011010101100110011001111,0.306819169505342,0.24459109888898914,24.459109888898915
36,00100000000110110000001010010001010100001100100010101100100011011110110010001101,0.0003819435465150714,10100000000000001000010101000000000001001100111110101100111010101100110011001100,0.3075824921223936,0.22741944580382975,22.741944580382974
37,00100000000100000100000010001000010001001101110110011110110001101110110011100101,0.00040640219389055345,10100000000000001000010101000000000001001100111011101100111011101101110010101111,0.3069690792938364,0.2511367369386788,25.113673693867877
38,11100000000001000000001000101101000000001100110011100101110011001001110011011101,0.00038919500359870017,10100000000000110000001110001001010000001100111110001100110011101100110110011101,0.3072819294867382,0.2608012386727434,26.080123867274338
39,00100000110100001000000010011001100010001100111110011100010000101110110010011101,0.00040305962109091377,10100000000000001000010101000000000101001100111110011100010001101110100010011001,0.3075549290352335,0.2512840543282613,25.12840543282613
40,11100000010000000000000000000001000110001100010010011100101001101101110010000111,0.00037548696761684626,10100000000000100001011011000000000000001100111110011100010000101110010110011001,0.30740443506217474,0.26202529674532227,26.202529674532226
41,11100000010001000100001000100001100000001100111011101100100111101100110110011100,0.000387090937563019,10000000000001000100000001010001100010001000110011011100100111000100010011001100,0.3325488788173464,0.257124908126506,25.7124908126506
42,11100000000010101000000010011001100110011101110110111000000011101100100010011100,0.0004095056452536774,10100000000001000100001000100001000000001100111110101101111011001100110011110101,0.3072295268474676,0.266227262384993,26.6227262384993
43,11100000000010101001001000101101000000001100110011101101010011111100100011010100,0.0003887687731249468,10100000000000100001011011000001010000001100111111100100111101110110000010010000,0.3074989464310228,0.26715021718526305,26.715021718526305
44,11100000000001001001101010100101100101001100110011101101111011001100110011110100,0.00038919088332217314,10100000000001000100001000100001000000001100111111001100010011101110100011000101,0.3072766385918438,0.27428209494080386,27.428209494080388
45,11100000001001100100000111100101100001001100111011101101111011101100110011001111,0.0003892020870440197,10100000000001000100001000100001000000001100111111001100010011101111100011000101,0.3072766389052338,0.2528711820475694,25.287118204756943
46,00100000000001010001111001000111100101001100110010011100101001101101111011000101,0.0003849991539675705,10100000000001000100001000100001000000001100111110101101111101101100110011001111,0.307229597823597,0.27450633228594257,27.450633228594256
47,10100000000000010010011001000101000010000100110001001110111011111111010011001101,0.009162666532362116,10100000000000000010001000010001000110001100111110101101111101101100100101000100,0.307620484132447,0.27058518580153446,27.058518580153443
48,11100000000001010100010000000101100101011100110011101101111011001100110010000111,0.00038914436609412036,10100000000000000010001000010001000110001100111110101111111101101100100111000100,0.3076233643522484,0.26071972639247926,26.071972639247928
